TimeStemp;grDataTime;W_GD;W_Yaw_CCW;W_Yaw_CW;W_Gen_APower;W_AcPower;W_Gen_Tor;W_Gen_Tor_Set;W_Nac_WS;W_NAC_WD;W_NAC_VD;W_Yaw_Pos;W_Pitch1;W_Pitch1_Set;W_Pitch2;W_Pitch2_Set;W_Pitch3;W_Pitch3_Set;W_Gen_SP;W_Rotor_SP;W_Nac_AccX;W_Nac_AccY;W_Nac_AccZ;W_Rotor_Pos;Acc2X;Acc2Y;Acc2Z;Temp2;Acc3X;Acc3Y;Acc3Z;Temp3;Acc1X;Acc1Y;Acc1Z;Temp1;Bl2_I_1M;Bl2_O_1M;Bl2_I_12M;Bl2_O_12M;Bl2_T_12M;Bl2_I_20M;Bl2_O_20M;Bl2_T_20M;Bl2_I_30M;Bl2_O_30M;Bl2_T_30M;Bl2_I_40M;Bl2_O_40M;Bl2_T_40M;Bl2_I_50M;Bl2_O_50M;Bl2_T_50M;Bl3_I_1M;Bl3_O_1M;Bl3_I_12M;Bl3_O_12M;Bl3_T_12M;Bl3_I_25M;Bl3_O_25M;Bl3_T_25M;Bl3_I_46M;Bl3_O_46M;Bl3_T_46M;Bl1_I_1M;Bl1_O_1M;Bl1_I_12M;Bl1_O_12M;Bl1_T_12M;Bl1_I_25M;Bl1_25M;Bl1_T_25M;Bl1_I_46M;Bl1_O_46M;Bl1_T_46M;Bl2_B1_1M;Bl2_B2_1M;Bl2_B4_1M;Bl2_B5_1M;Bl2_B1_12M;Bl2_B2_12M;Bl2_B4_12M;Bl2_B5_12M;Bl2_B1_20M;Bl2_B3_20M;Bl2_B4_20M;Bl2_B6_20M;Bl2_B1_30M;Bl2_B3_30M;Bl2_B4_30M;Bl2_B6_30M;Bl2_B1_40M;Bl2_B3_40M;Bl2_B4_40M;Bl2_B6_40M;Bl2_B1_50M;Bl2_B3_50M;Bl2_B4_50M;Bl2_B6_50M;Bl3_B1_1M;Bl3_B2_1M;Bl3_B3_1M;Bl3_B4_1M;Bl3_B1_12M;Bl3_B2_12M;Bl3_B3_12M;Bl3_B4_12M;Bl3_B1_25M;Bl3_B2_25M;Bl3_B3_25M;Bl3_B4_25M;Bl3_B1_46M;Bl3_B2_46M;Bl3_B3_46M;Bl3_B4_46M;Bl1_B1_1M;Bl1_B2_1M;Bl1_B3_1M;Bl1_B4_1M;Bl1_B1_12M;Bl1_B2_12M;Bl1_B3_12M;Bl1_B4_12M;Bl1_B1_25M;Bl1_B2_25M;Bl1_B3_25M;Bl1_B4_25M;Bl1_B1_46M;Bl1_B2_46M;Bl1_B3_46M;Bl1_B4_46M;Bl2_S1_12M0;Bl2_S1_12M1;Bl2_S2_12M0;Bl2_S2_12M1;Bl2_S1_20M0;Bl2_S1_20M1;Bl2_S2_20M0;Bl2_S2_20M1;Bl2_S1_30M0;Bl2_S1_30M1;Bl2_S2_30M0;Bl2_S2_30M1;Bl2_S1_40M0;Bl2_S1_40M1;Bl2_S2_40M0;Bl2_S2_40M1;Bl2_S1_50M0;Bl2_S1_50M1;Bl2_S2_50M0;Bl2_S2_50M1;Bl3_S1_12M0;Bl3_S1_12M1;Bl3_S1_12M1;Bl3_S2_12M1;Bl3_S1_25M0;Bl3_S1_25M1;Bl3_S2_25M0;Bl3_S2_25M1;Bl3_S1_46M0;Bl3_S1_46M1;Bl3_S2_46M0;Bl3_S2_46M1;Bl1_S1_12M0;Bl1_S1_12M1;Bl1_S2_12M0;Bl1_S2_12M1;Bl1_S1_25M0;Bl1_S1_25M1;Bl1_S2_25M0;Bl1_S2_25M1;Bl1_S1_46M0;Bl1_S1_46M1;Bl1_S2_46M0;Bl1_S2_46M1;M_Main_WS;M_Ref_WS;M_Tip_WS;M_Main_WD;M_Press;M_Temp;M_Humi;Power
2018-04-08_15:28:29.843;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20425;19937;8104;23380;17789;-3826;-6415;-17498;26626;-17457;22230;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15378;13906;-14541;13314;-12050;18095;-9853;17556;-6395;-14946;-6051;3397;-1282;0;-1239;0;0;0;0;0;0;0;0;0;-15725;-2874;-15157;-1947;-12822;410;-11535;1071;-9098;2792;-8337;3320;-6146;6711;-5779;10368;-15100;-3051;-15468;-2396;0;0;-11729;880;-10321;3833;-9221;3469;0;6740;-6136;6721;-15358;-10567;-15463;-11031;-5917;-870;-6151;-1506;3166;8216;3436;8038;13162;18041;14029;16551;0;0;0;18074;-15425;-11057;3688;8430;-6122;-1528;13220;17612;12812;17494;11001;17596;-15129;-13536;2452;4016;-6081;-1450;13466;17817;0;18079;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:29.863;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20425;18360;8104;23380;17120;-4275;-6066;-17498;27002;-17457;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15378;13906;-14541;13314;-12050;18094;-9853;17556;-6395;-14946;-6051;3398;-1282;0;-1240;0;0;0;0;0;0;0;0;0;-15726;-2875;-15157;-1946;-12822;400;-11535;-368;-9099;2791;-8337;3738;-6148;6711;-5779;10375;-15099;-3051;-15468;-2396;0;0;-11729;879;-10320;3834;-9221;3468;0;6739;-6136;6722;-15358;-10567;-15463;-11030;-5917;-870;-6151;-1505;3166;8216;3436;8038;13162;18041;14029;16551;0;0;0;0;-15425;-11057;3688;8431;-6122;-1528;13220;17612;12812;17494;10979;17944;-15129;-13536;2452;4016;-6081;-1450;13466;17817;0;18079;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:29.883;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20425;18360;8104;23380;16450;-4275;-6066;-17498;28135;-17828;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15378;13905;-14541;13315;-12050;18093;-9853;17557;-6395;-14947;-6051;3398;-1282;0;-1240;0;0;0;0;0;0;0;0;0;-15726;-2875;-15156;-1946;-12823;412;-11535;1064;-9098;2791;-8337;3714;-6146;6712;-5780;10360;-15099;-3051;-15468;-2397;0;0;-11729;879;-10320;3834;-9222;3468;0;6737;-6136;6723;-15358;-10568;-15463;-11030;-5918;-871;-6151;-1505;3165;8216;3436;8038;13161;18041;14028;16552;0;0;0;0;-15425;-11058;3688;8431;-6122;-1528;13221;17612;12812;17495;10973;16932;-15129;-13536;2452;4016;-6081;-1450;13466;17818;0;18080;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:29.903;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20425;18887;8104;23380;16111;-4722;-6066;-17498;27758;-18194;22230;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15378;13905;-14542;13315;-12051;18092;-9853;17557;-6395;-14948;-6051;3399;-1282;0;-1240;0;0;0;0;0;0;0;0;0;-15726;-2876;-15157;-1946;-12823;405;-11535;-370;-9098;2791;-8337;3735;-6146;6712;-5780;10383;-15099;-3050;-15469;-2397;0;0;-11729;879;-10319;3834;-9223;3468;0;6735;-6135;6724;-15358;-10568;-15463;-11030;-5918;-871;-6151;-1505;3165;8216;3436;8039;13161;18041;14028;16553;0;0;0;0;-15425;-11058;3688;8431;-6123;-1528;13221;17612;12813;17495;10983;19944;-15129;-13536;2452;4017;-6082;-1450;13466;17818;0;18081;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:29.923;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20882;18360;8104;23380;15781;-5623;-6415;-17498;28135;-18565;22230;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15378;13905;-14542;13316;-12051;18091;-9854;17558;-6395;-14949;-6052;3399;-1281;0;-1241;0;0;0;0;0;0;0;0;0;-15726;-2876;-15157;-1945;-12823;399;-11534;-363;-9100;2790;-8337;3726;-6146;6713;-5780;10374;-15099;-3050;-15469;-2397;0;0;-11729;879;-10319;3835;-9223;3468;0;6735;-6135;6724;-15358;-10569;-15463;-11029;-5919;-872;-6151;-1504;3165;8216;3436;8039;13161;18041;14028;16553;0;0;0;0;-15425;-11059;3688;8431;-6123;-1528;13221;17612;12813;17495;10980;19929;-15129;-13536;2452;4017;-6082;-1450;13466;17818;0;18081;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:29.943;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19972;18360;8104;22998;14771;-5623;-6066;-17498;28135;-18565;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15377;13904;-14542;13316;-12051;18090;-9854;17558;-6394;-14950;-6052;3400;-1281;0;-1241;0;0;0;0;0;0;0;0;0;-15725;-2877;-15157;-1945;-12823;402;-11535;1062;-9098;2790;-8337;3728;-6145;6713;-5780;10370;-15099;-3050;-15469;-2397;0;0;-11729;879;-10318;3835;-9224;3467;0;6733;-6135;6725;-15358;-10569;-15463;-11029;-5919;-872;-6151;-1504;3163;8216;3436;8040;13160;18041;14028;16553;0;0;0;0;-15425;-11059;3688;8431;-6123;-1528;13221;17612;12813;17495;10990;18253;-15129;-13536;2452;4016;-6082;-1450;13465;17818;0;18082;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:29.963;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19520;17311;8104;23380;14436;-6968;-6066;-17056;29263;-18565;22230;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15377;13904;-14543;13317;-12051;18090;-9854;17559;-6394;-14951;-6053;3400;-1281;0;-1242;0;0;0;0;0;0;0;0;0;-15725;-2877;-15157;-1944;-12824;403;-11535;-423;-9099;2790;-8337;3749;-6146;6714;-5779;10377;-15098;-3049;-15470;-2397;0;0;-11732;877;-10318;3836;-9225;3467;0;6733;-6135;6725;-15358;-10569;-15463;-11028;-5919;-873;-6150;-1504;3163;8215;3436;8040;13160;18041;14028;16554;0;0;0;0;-15425;-11060;3688;8431;-6123;-1528;13221;17612;12814;17495;10955;16177;-15129;-13536;2452;4017;-6081;-1450;13465;17819;0;18082;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:29.983;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18615;17311;8104;23380;14101;-7869;-6066;-17498;28508;-18565;22230;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15376;13903;-14544;13317;-12051;18089;-9855;17559;-6394;-14952;-6053;3401;-1281;0;-1242;0;0;0;0;0;0;0;0;0;-15725;-2877;-15157;-1944;-12824;393;-11535;-342;-9098;2790;-8337;3720;-6149;6714;-5779;10373;-15098;-3049;-15470;-2397;0;0;-11732;877;-10317;3836;-9225;3467;0;6733;-6135;6725;-15358;-10570;-15463;-11028;-5919;-874;-6150;-1503;3163;8215;3436;8040;13160;18040;14028;16554;0;0;0;0;-15425;-11060;3688;8432;-6123;-1528;13221;17612;12814;17495;10972;15431;-15129;-13536;2452;4017;-6081;-1450;13466;17818;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.003;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18615;15734;8104;23380;14101;-8317;-6066;-17498;27758;-17086;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15376;13903;-14544;13318;-12050;18088;-9855;17560;-6393;-14952;-6054;3401;-1281;0;-1242;0;0;0;0;0;0;0;0;0;-15725;-2878;-15157;-1944;-12824;401;-11535;-375;-9097;2790;-8337;3717;-6148;6715;-5778;10382;-15098;-3049;-15470;-2398;0;0;-11733;876;-10317;3836;-9225;3467;0;6730;-6134;6725;-15358;-10570;-15463;-11027;-5919;-874;-6150;-1503;3162;8214;3435;8041;13159;18040;14028;16555;0;0;0;0;-15425;-11060;3688;8432;-6122;-1529;13221;17613;12814;17495;10971;19615;-15129;-13536;2452;4017;-6082;-1450;13466;17818;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.023;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19067;16261;8104;23380;14436;-8761;-6066;-17498;27758;-16345;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15376;13902;-14545;13318;-12050;18087;-9856;17560;-6393;-14953;-6054;3402;-1281;0;-1242;0;0;0;0;0;0;0;0;0;-15725;-2878;-15158;-1943;-12823;397;-11535;-422;-9100;2790;-8337;3327;-6148;6715;-5778;10370;-15098;-3049;-15471;-2398;0;0;-11733;876;-10316;3836;-9226;3467;0;6730;-6133;6725;-15359;-10571;-15463;-11027;-5920;-875;-6150;-1502;3161;8214;3435;8042;13159;18040;14028;16556;0;0;0;0;-15425;-11061;3688;8432;-6122;-1529;13221;17613;12814;17495;10943;16944;-15129;-13536;2452;4016;-6082;-1450;13466;17819;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.043;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19520;14684;8104;23768;14771;-8761;-6066;-17498;28135;-15975;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15375;13902;-14545;13319;-12050;18086;-9856;17561;-6393;-14954;-6055;3402;-1280;0;-1243;0;0;0;0;0;0;0;0;0;-15724;-2878;-15158;-1943;-12823;396;-11536;-369;-9096;2789;-8337;4598;-6147;6715;-5777;10368;-15097;-3049;-15471;-2398;0;0;-11733;876;-10316;3836;-9226;3467;0;6730;-6133;6725;-15359;-10571;-15463;-11026;-5920;-876;-6150;-1502;3160;8214;3435;8043;13159;18040;14028;16556;0;0;0;0;-15425;-11061;3688;8432;-6122;-1529;13221;17613;12814;17495;10981;19924;-15129;-13536;2452;4017;-6082;-1450;13466;17817;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.063;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19972;14684;8104;22224;15106;-9213;-6066;-17498;27758;-15604;22567;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15375;13901;-14546;13319;-12051;18085;-9857;17561;-6393;-14955;-6055;3403;-1280;0;-1243;0;0;0;0;0;0;0;0;0;-15724;-2878;-15158;-1943;-12823;398;-11536;1327;-9097;2789;-8338;3710;-6147;6715;-5777;10371;-15097;-3048;-15471;-2398;0;0;-11733;876;-10316;3836;-9226;3467;0;6731;-6133;6724;-15359;-10572;-15463;-11025;-5920;-876;-6150;-1502;3160;8214;3435;8043;13158;18040;14028;16557;0;0;0;0;-15425;-11062;3688;8432;-6122;-1529;13221;17613;12814;17495;10987;19951;-15129;-13536;2452;4017;-6083;-1450;13466;17817;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.083;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19067;13634;8104;23380;15781;-8761;-6415;-17498;27380;-14868;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15375;13901;-14546;13320;-12051;18084;-9857;17562;-6392;-14956;-6056;3404;-1280;0;-1243;0;0;0;0;0;0;0;0;0;-15724;-2878;-15159;-1943;-12823;401;-11536;-375;-9098;2788;-8338;3728;-6150;6715;-5776;10378;-15097;-3048;-15472;-2398;0;0;-11734;876;-10316;3836;-9226;3467;0;6732;-6132;6724;-15359;-10572;-15463;-11025;-5920;-877;-6150;-1501;3159;8214;3435;8044;13157;18040;14027;16558;0;0;0;0;-15425;-11062;3688;8432;-6123;-1530;13221;17614;12814;17495;10987;17581;-15129;-13536;2452;4017;-6083;-1451;13466;17819;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.103;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18615;14156;8104;23380;16450;-9661;-6415;-17498;27002;-15239;22230;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13900;-14546;13320;-12051;18084;-9857;17562;-6392;-14957;-6056;3404;-1279;0;-1244;0;0;0;0;0;0;0;0;0;-15724;-2878;-15159;-1944;-12823;382;-11537;-430;-9097;2787;-8338;3739;-6147;6714;-5776;10369;-15097;-3049;-15472;-2398;0;0;-11734;876;-10315;3836;-9227;3467;0;6732;-6132;6724;-15359;-10572;-15463;-11025;-5921;-877;-6150;-1501;3159;8214;3435;8044;13156;18040;14027;16559;0;0;0;0;-15425;-11062;3688;8432;-6123;-1530;13221;17614;12814;17495;10972;16159;-15129;-13536;2452;4016;-6084;-1451;13467;17818;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.123;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18163;14156;8104;23380;17454;-8317;-6066;-17498;27002;-15975;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13900;-14547;13320;-12051;18083;-9857;17563;-6392;-14958;-6056;3405;-1279;0;-1244;0;0;0;0;0;0;0;0;0;-15724;-2878;-15159;-1944;-12823;399;-11537;1650;-9097;2787;-8338;3728;-6150;6714;-5776;10379;-15097;-3049;-15472;-2397;0;0;-11734;876;-10315;3836;-9227;3467;0;6733;-6132;6723;-15359;-10573;-15463;-11024;-5921;-877;-6150;-1501;3159;8214;3435;8044;13156;18040;14027;16559;0;0;0;0;-15425;-11062;3688;8432;-6123;-1530;13221;17614;12814;17494;10976;15778;-15129;-13536;2452;4017;-6084;-1451;13466;17820;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.143;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18615;14684;8104;23380;18794;-9213;-6415;-17498;28135;-17457;22230;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13900;-14547;13321;-12051;18082;-9858;17563;-6392;-14958;-6057;3405;-1279;0;-1245;0;0;0;0;0;0;0;0;0;-15724;-2877;-15159;-1944;-12822;387;-11537;-354;-9098;2786;-8338;3735;-6147;6713;-5776;10380;-15097;-3049;-15472;-2397;0;0;-11734;876;-10316;3836;-9228;3467;0;6734;-6132;6722;-15359;-10573;-15463;-11024;-5921;-878;-6150;-1500;3157;8214;3434;8045;13155;18040;14027;16561;0;0;0;0;-15425;-11062;3687;8432;-6123;-1530;13221;17614;12813;17494;10982;16905;-15129;-13536;2452;4016;-6084;-1452;13465;17820;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.163;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18615;14684;8104;23380;18794;-8317;-6415;-17498;27380;-18194;22230;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13900;-14547;13321;-12051;18082;-9858;17563;-6391;-14959;-6057;3406;-1279;0;-1245;0;0;0;0;0;0;0;0;0;-15723;-2877;-15159;-1944;-12822;398;-11537;-373;-9099;2786;-8338;2934;-6148;6711;-5777;10376;-15097;-3049;-15472;-2397;0;0;-11734;876;-10316;3837;-9228;3466;0;6734;-6132;6722;-15359;-10573;-15463;-11024;-5922;-878;-6149;-1500;3156;8214;3434;8046;13154;18041;14027;16562;0;0;0;0;-15425;-11062;3688;8432;-6123;-1530;13220;17614;12812;17494;10946;16161;-15129;-13536;2452;4017;-6085;-1452;13465;17822;0;18083;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.183;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-17710;15734;8104;22998;19469;-6968;-6066;-17498;27380;-18935;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13900;-14547;13321;-12051;18081;-9858;17564;-6391;-14960;-6057;3406;-1279;0;-1246;0;0;0;0;0;0;0;0;0;-15724;-2877;-15159;-1944;-12822;391;-11537;-389;-9098;2786;-8338;4608;-6147;6710;-5777;10367;-15097;-3049;-15471;-2397;0;0;-11734;876;-10316;3837;-9228;3466;0;6734;-6133;6722;-15359;-10573;-15463;-11024;-5922;-878;-6149;-1500;3156;8214;3434;8046;13153;18041;14027;16562;0;0;0;0;-15425;-11061;3688;8432;-6124;-1530;13220;17614;12811;17494;10946;16151;-15129;-13536;2452;4016;-6086;-1452;13465;17823;0;18082;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.203;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-17253;17311;8104;23380;19469;-6520;-6415;-17498;27002;-20047;22567;-17838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13900;-14547;13321;-12051;18081;-9858;17564;-6391;-14960;-6057;3406;-1278;0;-1246;0;0;0;0;0;0;0;0;0;-15724;-2877;-15159;-1944;-12822;390;-11537;1085;-9098;2786;-8338;3725;-6144;6708;-5778;10371;-15097;-3050;-15472;-2397;0;0;-11734;876;-10316;3837;-9229;3466;0;6734;-6133;6722;-15359;-10573;-15463;-11023;-5922;-878;-6149;-1499;3154;8214;3434;8047;13152;18041;14026;16563;0;0;0;0;-15425;-11061;3688;8432;-6124;-1530;13220;17615;12810;17493;10993;19916;-15129;-13536;2452;4017;-6086;-1453;13466;17821;0;18082;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.223;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-17710;17311;8104;23380;18794;-6520;-6066;-17498;26626;-20412;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13900;-14547;13321;-12051;18081;-9858;17564;-6391;-14961;-6057;3406;-1278;0;-1246;0;0;0;0;0;0;0;0;0;-15724;-2876;-15159;-1945;-12822;405;-11537;-364;-9096;2786;-8338;3737;-6145;6706;-5778;10372;-15097;-3050;-15471;-2397;0;0;-11734;876;-10316;3838;-9229;3466;0;6734;-6133;6722;-15359;-10572;-15463;-11023;-5923;-878;-6149;-1499;3153;8215;3434;8047;13151;18041;14026;16564;0;0;0;0;-15425;-11061;3688;8432;-6124;-1530;13220;17615;12809;17493;10921;19916;-15129;-13536;2452;4017;-6087;-1453;13465;17824;0;18082;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.243;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18615;17311;8104;23380;18794;-6520;-6415;-17498;26626;-20783;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13900;-14547;13321;-12051;18081;-9857;17564;-6391;-14961;-6057;3407;-1278;0;-1246;0;0;0;0;0;0;0;0;0;-15724;-2876;-15159;-1945;-12822;412;-11537;-379;-9099;2786;-8339;4581;-6144;6704;-5779;10377;-15097;-3050;-15471;-2397;0;0;-11734;876;-10316;3838;-9228;3466;0;6734;-6133;6722;-15359;-10572;-15463;-11023;-5923;-878;-6149;-1499;3153;8215;3434;8047;13150;18042;14026;16565;0;0;0;0;-15425;-11060;3688;8431;-6124;-1530;13220;17615;12808;17492;10986;16952;-15129;-13536;2452;4017;-6088;-1453;13465;17826;0;18082;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2018-04-08_15:28:30.263;0/0/0 0:0:0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-19520;18360;8104;22998;18464;-6520;-6415;-17498;26626;-19676;22230;-18321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15374;13899;-14546;13321;-12051;18081;-9857;17564;-6391;-14961;-6057;3407;-1278;0;-1246;0;0;0;0;0;0;0;0;0;-15724;-2876;-15159;-1945;-12821;398;-11537;-345;-9099;2786;-8339;3731;-6142;6703;-5779;10364;-15097;-3050;-15471;-2397;0;0;-11734;876;-10316;3838;-9228;3466;0;6734;-6133;6722;-15359;-10572;-15463;-11023;-5923;-877;-6149;-1499;3152;8216;3434;8048;13149;18042;14026;16566;0;0;0;0;-15425;-11060;3688;8431;-6124;-1529;13220;17615;12808;17492;10971;19247;-15129;-13536;2452;4017;-6088;-1454;13465;17826;0;18082;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
